image_path,Pneumonia,Tuberculosis,COVID-19,Lung Opacity
data/raw/chestxray/OpacityLungs/Lung_Opacity-597.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-2046.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4468.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-2032.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-4368.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-487.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-9559.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1685.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-9841.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-7244.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-5437.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5012.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-2957.png,0,0,1,0
data/raw/chestxray/COVIDLungs/COVID-2726.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-2393.png,0,0,0,1
data/raw/chestxray/TBLungs/TB.1199.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-9920.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3266.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-3626.png,0,0,0,1
data/raw/chestxray/TBLungs/TB.268.jpg,0,1,0,0
data/raw/chestxray/COVIDLungs/COVID-337.png,0,0,1,0
data/raw/chestxray/TBLungs/TB.2476.jpg,0,1,0,0
data/raw/chestxray/COVIDLungs/COVID-458.png,0,0,1,0
data/raw/chestxray/TBLungs/TB.2295.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-8159.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.1599.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-10016.png,0,0,0,0
data/raw/chestxray/PneumoniaLungs/Viral Pneumonia-964.png,1,0,0,0
data/raw/chestxray/NormalLungs/Normal-5930.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-5938.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5202.png,0,0,0,1
data/raw/chestxray/TBLungs/TB.2469.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-595.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-3265.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-654.png,0,0,0,1
data/raw/chestxray/TBLungs/TB.629.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-408.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-6648.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-7757.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-104.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-2834.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.541.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-4489.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-5844.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-9381.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-2342.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-1428.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-2807.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4790.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-463.png,0,0,1,0
data/raw/chestxray/TBLungs/TB.1638.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1698.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-3154.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.1565.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5719.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-268.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2428.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-83.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2545.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-210.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1935.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-113.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-8149.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4340.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-9566.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4659.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-711.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-297.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-212.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3861.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-8400.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4428.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-2763.png,0,0,1,0
data/raw/chestxray/TBLungs/TB.809.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-7421.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5052.png,0,0,0,1
data/raw/chestxray/PneumoniaLungs/Viral Pneumonia-771.png,1,0,0,0
data/raw/chestxray/TBLungs/TB.1839.jpg,0,1,0,0
data/raw/chestxray/TBLungs/TB.1930.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-503.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-3021.png,0,0,1,0
data/raw/chestxray/COVIDLungs/COVID-3094.png,0,0,1,0
data/raw/chestxray/TBLungs/TB.663.jpg,0,1,0,0
data/raw/chestxray/TBLungs/TB.1970.jpg,0,1,0,0
data/raw/chestxray/PneumoniaLungs/Viral Pneumonia-1145.png,1,0,0,0
data/raw/chestxray/NormalLungs/Normal-256.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-8052.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-4453.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.2022.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-627.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-1098.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-2056.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-7050.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1838.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-9397.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-5561.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.2233.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4414.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-5889.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-10068.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-9567.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.1124.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-6477.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2598.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-3087.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-3223.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1444.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.1.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-560.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1269.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-9006.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1937.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-607.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-34.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-3435.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-9636.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.233.jpg,0,1,0,0
data/raw/chestxray/TBLungs/TB.367.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-8193.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2565.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-6525.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1507.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-3167.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-819.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-4478.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-1694.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-6208.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5515.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-2862.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-10041.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-877.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-7342.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.950.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-5840.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-4401.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-804.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-5851.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4736.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-3252.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-565.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-3956.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.203.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-4839.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3917.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-8294.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5684.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-671.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.889.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-6689.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2953.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-5719.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1382.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-5876.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.128.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-5703.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.2341.jpg,0,1,0,0
data/raw/chestxray/PneumoniaLungs/Viral Pneumonia-314.png,1,0,0,0
data/raw/chestxray/PneumoniaLungs/Viral Pneumonia-442.png,1,0,0,0
data/raw/chestxray/NormalLungs/Normal-3164.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-1115.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-2492.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5480.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-3508.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-420.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-839.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-76.png,0,0,1,0
data/raw/chestxray/COVIDLungs/COVID-3563.png,0,0,1,0
data/raw/chestxray/COVIDLungs/COVID-1695.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5562.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-3223.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3877.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-9909.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5233.png,0,0,0,1
data/raw/chestxray/OpacityLungs/Lung_Opacity-5007.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-8508.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-7626.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-1717.png,0,0,1,0
data/raw/chestxray/COVIDLungs/COVID-1013.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-2855.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-4222.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-1360.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1446.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-9528.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-3879.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-1548.png,0,0,1,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3432.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-7163.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.382.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-1361.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-8680.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-480.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-2149.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-4766.png,0,0,0,1
data/raw/chestxray/COVIDLungs/COVID-2875.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-9633.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.98.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-5085.png,0,0,0,0
data/raw/chestxray/TBLungs/TB.1241.jpg,0,1,0,0
data/raw/chestxray/NormalLungs/Normal-8312.png,0,0,0,0
data/raw/chestxray/COVIDLungs/COVID-2782.png,0,0,1,0
data/raw/chestxray/NormalLungs/Normal-6892.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-6673.png,0,0,0,0
data/raw/chestxray/NormalLungs/Normal-7354.png,0,0,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-5418.png,0,0,0,1
data/raw/chestxray/TBLungs/TB.660.jpg,0,1,0,0
data/raw/chestxray/OpacityLungs/Lung_Opacity-3784.png,0,0,0,1
data/raw/chestxray/NormalLungs/Normal-1227.png,0,0,0,0
